Date,Price,Temperature,Location,Season,Supply_Demand,External_Factor
01-01-2011,1.806,20,USA,Winter,High,None
01-01-2012,1.939,18,USA,Winter,High,None
01-01-2013,1.933,15,USA,Winter,High,None
01-01-2014,2.008,12,USA,Winter,High,None
01-01-2015,2.113,10,USA,Winter,High,None
01-01-2016,2.30,10,USA,Winter,High,None
01-01-2017,2.328,10,USA,Winter,High,None
01-01-2018,1.769,10,USA,Winter,High,None
01-01-2019,1.554,10,USA,Winter,High,None
01-01-2020,1.461,10,USA,Winter,High,None
01-01-2021,1.466,10,USA,Winter,High,None
01-01-2022,1.929,10,USA,Winter,High,None
01-01-2022,4.823,USA,Winter,High,None
